ZIP Code,YoY Growth 2024,Total Policies 2024,YoY Growth 2023,Total Policies 2023,YoY Growth 2022,Total Policies 2022,YoY Growth 2021,Total Policies 2021,Total Policies 2020
94709,118.80%,35,6.70%,16,7.10%,15,12.50%,14,16
94710,8.00%,27,8.70%,25,8.00%,23,3.80%,25,26
94720,0.00%,1,0.00%,,0.00%,,0.00%,,
95364,20.60%,152,6.80%,126,22.90%,118,1.10%,96,95
96120,10.50%,179,18.20%,162,19.10%,137,16.20%,115,99
95601,0.00%,40,0.00%,,0.00%,,0.00%,,
95629,17.40%,209,14.80%,178,5.40%,155,47.00%,147,100
95640,146.80%,269,78.70%,109,64.90%,61,76.20%,37,21
95642,34.30%,540,45.10%,402,43.50%,277,65.00%,193,117
95665,6.40%,1041,10.90%,978,5.60%,882,16.80%,835,715
95666,3.50%,2041,11.00%,1972,6.70%,1777,17.30%,1665,1419
95669,31.80%,282,49.70%,214,16.30%,143,39.80%,123,88
95685,19.60%,536,22.40%,448,20.00%,366,22.00%,305,250
95689,12.50%,368,15.50%,327,3.30%,283,17.10%,274,234
95699,0.00%,19,0.00%,,0.00%,,0.00%,,
95914,14.30%,72,50.00%,63,55.60%,42,107.70%,27,13
95916,15.80%,110,37.70%,95,15.90%,69,53.70%,82,177
95917,100.00%,4,100.00%,2,0.00%,1,0.00%,1,
95926,540.00%,32,66.70%,5,0.00%,3,200.00%,3,1
95928,69.60%,195,82.50%,115,1.60%,63,14.80%,62,54
95930,0.00%,99,0.00%,,0.00%,,0.00%,,
95938,20.00%,4,25.00%,5,20.00%,4,25.00%,5,4
95941,2.80%,74,4.30%,72,3.00%,69,19.60%,67,56
95942,12.70%,454,17.50%,403,9.60%,343,17.70%,313,266
95948,50.00%,9,100.00%,6,0.00%,3,50.00%,3,2
95954,12.80%,1939,55.00%,1719,12.70%,1109,28.50%,984,766
95965,59.40%,507,53.60%,318,5.60%,207,78.20%,196,110
95966,38.40%,2546,57.50%,1840,8.30%,1168,14.80%,1078,939
95968,145.50%,27,83.30%,11,100.00%,6,50.00%,3,2
95969,74.80%,1715,127.10%,981,61.80%,432,111.90%,267,126
95973,84.40%,225,29.80%,122,10.60%,94,18.10%,85,72
95222,35.10%,539,49.40%,399,20.30%,267,16.80%,222,190
95223,2.20%,4326,12.30%,4233,9.60%,3769,18.90%,3440,2893
95225,0.00%,42,0.00%,,0.00%,,0.00%,,
95226,0.00%,16,0.00%,,0.00%,,0.00%,,
95228,36.30%,759,70.90%,557,37.60%,326,55.90%,237,152
95232,4.10%,51,25.60%,49,56.00%,39,8.70%,25,23
95245,7.40%,364,25.60%,339,25.00%,270,21.30%,216,178
95246,11.80%,313,25.00%,280,26.60%,224,30.10%,177,136
95247,12.10%,1195,27.20%,1066,12.50%,838,25.80%,745,592
95249,32.00%,367,55.30%,278,28.80%,179,46.30%,139,95
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
95251,10.30%,150,20.40%,136,4.60%,113,52.10%,108,71
95252,29.40%,620,50.60%,479,80.70%,318,40.80%,176,125
95254,0.00%,23,0.00%,,0.00%,,0.00%,,
95255,9.80%,414,7.10%,377,3.00%,352,19.40%,363,304
95257,0.00%,157,0.00%,157,13.80%,157,24.30%,138,111
95912,66.70%,2,50.00%,6,100.00%,4,0.00%,2,
95932,100.00%,10,0.00%,5,400.00%,5,50.00%,1,2
95955,100.00%,,0.00%,1,0.00%,1,0.00%,1,1
95970,0.00%,3,0.00%,3,0.00%,3,200.00%,3,1
95979,61.10%,29,63.60%,18,175.00%,11,33.30%,4,6
95987,25.00%,3,33.30%,4,200.00%,3,0.00%,1,1
94505,425.00%,21,33.30%,4,50.00%,3,0.00%,2,2
94506,322.60%,579,158.50%,137,32.50%,53,2.40%,40,41
94507,277.30%,415,86.40%,110,51.30%,59,50.00%,39,26
94509,160.00%,78,6.30%,30,13.50%,32,5.70%,37,35
94511,27.60%,37,11.50%,29,0.00%,26,0.00%,,
94513,150.00%,80,52.40%,32,23.50%,21,37.00%,17,27
94514,100.00%,6,25.00%,3,0.00%,4,0.00%,4,4
94517,187.30%,158,77.40%,55,342.90%,31,16.70%,7,6
94518,133.30%,28,33.30%,12,28.60%,9,0.00%,7,7
94519,83.30%,11,14.30%,6,0.00%,7,0.00%,7,7
94520,257.10%,25,75.00%,7,20.00%,4,0.00%,5,5
94521,229.40%,56,240.00%,17,16.70%,5,20.00%,6,5
94523,363.20%,88,90.00%,19,9.10%,10,8.30%,11,12
94525,200.00%,48,100.00%,16,33.30%,8,33.30%,12,9
94526,467.90%,301,82.80%,53,93.30%,29,25.00%,15,12
94528,300.00%,52,85.70%,13,75.00%,7,33.30%,4,3
94530,322.40%,207,63.30%,49,11.10%,30,42.10%,27,19
94531,450.00%,55,100.00%,10,16.70%,5,25.00%,6,8
94547,550.00%,52,166.70%,8,50.00%,3,0.00%,2,2
94549,265.00%,927,76.40%,254,26.30%,144,93.20%,114,59
94553,265.00%,292,81.80%,80,4.80%,44,5.00%,42,40
94556,456.90%,284,112.50%,51,14.30%,24,50.00%,21,14
94561,17.10%,48,0.00%,41,31.70%,41,0.00%,60,60
94563,250.30%,1191,46.60%,340,47.80%,232,63.50%,157,96
94564,366.70%,70,275.00%,15,20.00%,4,16.70%,5,6
94565,145.10%,125,18.60%,51,30.60%,43,3.10%,62,64
94569,57.10%,11,250.00%,7,100.00%,2,50.00%,1,2
94572,66.70%,15,12.50%,9,27.30%,8,0.00%,11,11
94582,309.10%,45,0.00%,11,100.00%,,50.00%,1,2
94583,184.40%,182,82.90%,64,25.00%,35,115.40%,28,13
94595,212.20%,128,64.00%,41,19.00%,25,133.30%,21,9
94596,400.00%,50,11.10%,10,10.00%,9,11.10%,10,9
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
94597,245.00%,69,53.80%,20,18.20%,13,0.00%,11,11
94598,119.00%,46,133.30%,21,25.00%,9,14.30%,12,14
94801,40.00%,98,2.90%,70,15.00%,68,5.30%,80,76
94803,217.90%,248,62.50%,78,37.10%,48,6.10%,35,33
94804,87.00%,101,17.40%,54,16.40%,46,7.80%,55,51
94805,122.00%,91,78.30%,41,8.00%,23,31.60%,25,19
94806,72.10%,105,3.40%,61,1.70%,59,9.40%,58,64
95531,148.30%,216,74.00%,87,61.30%,50,40.90%,31,22
95543,3.20%,91,10.60%,94,2.40%,85,144.10%,83,34
95548,50.00%,21,40.00%,14,66.70%,10,100.00%,6,3
95567,15.40%,15,333.30%,13,25.00%,3,100.00%,4,2
95614,32.80%,623,8.30%,469,12.20%,433,47.30%,386,262
95619,69.10%,509,87.00%,301,26.80%,161,41.10%,127,90
95623,34.80%,604,51.90%,448,9.70%,295,52.00%,269,177
95633,24.60%,745,5.10%,598,8.60%,569,13.90%,524,460
95634,25.20%,685,5.60%,547,10.70%,518,17.30%,468,399
95635,13.80%,272,3.00%,239,13.20%,232,15.80%,205,177
95636,36.70%,134,6.70%,98,40.70%,105,38.30%,177,128
95651,27.00%,113,39.10%,89,1.60%,64,26.00%,63,50
95664,11.80%,285,15.90%,255,1.30%,220,51.70%,223,147
95667,30.80%,6395,11.20%,4890,8.00%,4398,13.60%,4073,3586
95672,27.00%,578,28.50%,455,13.10%,354,76.80%,313,177
95682,54.30%,2100,65.20%,1361,14.80%,824,58.10%,718,454
95684,11.20%,737,20.30%,663,0.20%,551,26.90%,552,435
95709,13.90%,935,7.20%,821,4.50%,766,57.60%,733,465
95720,3.90%,146,8.60%,152,3.40%,140,13.30%,145,128
95721,0.00%,57,1.80%,57,20.00%,56,42.90%,70,49
95726,8.80%,2458,4.70%,2260,6.10%,2159,13.00%,2035,1801
95735,13.00%,113,20.50%,100,27.80%,83,43.80%,115,80
95762,104.90%,912,54.50%,445,21.50%,288,48.10%,237,160
96142,36.10%,686,81.90%,504,42.80%,277,55.20%,194,125
96150,20.70%,4385,32.10%,3633,17.30%,2750,43.50%,2344,1633
93210,7.70%,28,30.00%,26,17.60%,20,15.00%,17,20
93234,50.00%,1,0.00%,2,50.00%,2,0.00%,4,4
93242,100.00%,2,0.00%,1,100.00%,,0.00%,1,1
93602,4.40%,519,3.80%,497,4.80%,479,3.40%,457,473
93606,0.00%,1,0.00%,,0.00%,,0.00%,,
93608,66.70%,1,50.00%,3,100.00%,2,50.00%,1,2
93609,50.00%,9,0.00%,6,20.00%,6,25.00%,5,4
93611,225.00%,13,33.30%,4,25.00%,3,0.00%,4,4
93612,320.00%,21,0.00%,5,66.70%,5,50.00%,3,2
93616,200.00%,3,50.00%,1,0.00%,2,0.00%,,
93619,51.80%,296,74.10%,195,69.70%,112,32.00%,66,50
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
93621,15.80%,22,35.70%,19,7.70%,14,30.00%,13,10
93622,281.80%,42,57.10%,11,12.50%,7,0.00%,8,8
93624,0.00%,2,0.00%,,0.00%,,0.00%,,
93625,500.00%,6,83.30%,1,200.00%,6,100.00%,2,1
93626,86.00%,160,22.90%,86,45.80%,70,20.00%,48,40
93627,0.00%,,0.00%,,0.00%,,0.00%,,
93628,12.10%,111,37.50%,99,24.10%,72,18.40%,58,49
93630,42.90%,20,16.70%,14,50.00%,12,166.70%,8,3
93631,0.00%,6,20.00%,6,16.70%,5,50.00%,6,4
93633,13.20%,77,11.50%,68,17.30%,61,23.80%,52,42
93634,13.90%,131,4.20%,115,0.00%,120,0.00%,,
93640,536.40%,70,37.50%,11,33.30%,8,100.00%,12,6
93641,12.50%,56,18.50%,64,14.90%,54,42.40%,47,33
93646,7.70%,14,18.80%,13,23.10%,16,7.10%,13,14
93648,0.00%,3,0.00%,,0.00%,,100.00%,,1
93650,600.00%,21,25.00%,3,33.30%,4,50.00%,3,6
93651,24.20%,149,50.00%,120,0.00%,80,31.10%,80,61
93652,0.00%,,100.00%,,0.00%,1,0.00%,1,1
93654,128.60%,32,0.00%,14,133.30%,14,25.00%,6,8
93656,100.00%,4,100.00%,2,50.00%,1,100.00%,2,1
93657,52.10%,73,37.10%,48,29.60%,35,22.70%,27,22
93660,40.00%,7,400.00%,5,0.00%,1,0.00%,1,1
93662,250.00%,28,27.30%,8,450.00%,11,0.00%,2,2
93664,3.40%,1352,4.10%,1308,4.80%,1257,17.20%,1321,1127
93667,1.90%,264,30.80%,259,23.80%,198,35.60%,160,118
93668,200.00%,3,0.00%,1,0.00%,1,0.00%,1,1
93675,34.00%,343,59.00%,256,151.60%,161,68.40%,64,38
93701,33.30%,28,16.00%,21,31.60%,25,5.00%,19,20
93702,50.00%,105,23.10%,70,28.20%,91,10.10%,71,79
93703,118.80%,35,27.30%,16,57.10%,22,26.30%,14,19
93704,64.30%,23,6.70%,14,7.10%,15,12.50%,14,16
93705,200.00%,30,0.00%,10,11.10%,10,18.20%,9,11
93706,50.80%,98,4.40%,65,21.40%,68,11.10%,56,63
93710,120.00%,11,66.70%,5,0.00%,3,25.00%,3,4
93711,63.60%,18,22.20%,11,28.60%,9,16.70%,7,6
93720,1900.00%,20,0.00%,1,75.00%,1,20.00%,4,5
93721,16.70%,7,14.30%,6,40.00%,7,0.00%,5,5
93722,100.00%,52,23.80%,26,5.00%,21,23.10%,20,26
93723,0.00%,10,11.10%,10,18.20%,9,8.30%,11,12
93725,21.60%,45,23.30%,37,15.40%,30,8.30%,26,24
93726,700.00%,24,40.00%,3,0.00%,5,50.00%,5,10
93727,163.20%,50,18.80%,19,6.70%,16,0.00%,15,15
93728,64.30%,46,20.00%,28,16.70%,35,9.10%,30,33
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
93730,700.00%,8,50.00%,1,0.00%,2,0.00%,2,2
93737,250.00%,7,0.00%,2,33.30%,2,200.00%,3,1
95920,100.00%,,0.00%,1,0.00%,,0.00%,,
95939,44.40%,13,25.00%,9,500.00%,12,33.30%,2,3
95951,300.00%,4,0.00%,1,0.00%,,0.00%,,
95963,118.20%,24,22.20%,11,28.60%,9,12.50%,7,8
95988,50.00%,6,100.00%,4,0.00%,2,50.00%,2,4
95501,177.80%,50,157.10%,18,22.20%,7,12.50%,9,8
95503,115.70%,192,89.40%,89,88.00%,47,38.90%,25,18
95511,8.30%,11,29.40%,12,13.30%,17,36.40%,15,11
95514,22.20%,14,5.30%,18,137.50%,19,11.10%,8,9
95519,118.90%,162,155.20%,74,45.00%,29,66.70%,20,12
95521,98.50%,135,54.50%,68,18.90%,44,68.20%,37,22
95524,171.40%,38,75.00%,14,100.00%,8,33.30%,4,3
95525,41.40%,41,16.00%,29,13.60%,25,4.30%,22,23
95528,60.70%,45,16.70%,28,60.00%,24,36.40%,15,11
95536,56.30%,25,0.00%,16,23.10%,16,62.50%,13,8
95540,115.00%,86,73.90%,40,9.50%,23,90.90%,21,11
95542,7.60%,219,16.20%,237,2.40%,204,16.10%,209,180
95546,8.30%,26,50.00%,24,100.00%,16,60.00%,8,5
95547,800.00%,9,50.00%,1,100.00%,2,0.00%,1,
95549,48.50%,49,22.20%,33,68.80%,27,33.30%,16,12
95550,0.00%,27,8.00%,27,31.60%,25,5.00%,19,20
95551,50.00%,12,100.00%,8,33.30%,4,0.00%,3,
95554,8.80%,124,17.50%,114,1.00%,97,28.90%,98,76
95555,62.50%,13,11.10%,8,125.00%,9,0.00%,4,4
95556,19.60%,37,17.90%,46,34.50%,39,3.60%,29,28
95558,2.90%,36,12.90%,35,10.70%,31,33.30%,28,21
95560,0.90%,112,9.90%,111,21.70%,101,50.90%,83,55
95562,260.00%,36,100.00%,10,66.70%,5,0.00%,3,3
95564,100.00%,4,0.00%,2,0.00%,,0.00%,,
95565,90.90%,21,120.00%,11,400.00%,5,0.00%,1,1
95569,11.10%,16,28.60%,18,55.60%,14,12.50%,9,8
95570,73.60%,92,130.40%,53,64.30%,23,55.60%,14,9
95573,35.40%,218,27.80%,161,16.70%,126,44.00%,108,75
95589,38.00%,138,38.90%,100,8.90%,72,23.40%,79,64
92227,200.00%,81,17.40%,27,8.00%,23,4.20%,25,24
92231,38.50%,126,4.60%,91,4.40%,87,14.20%,91,106
92233,50.00%,6,0.00%,4,100.00%,4,33.30%,2,3
92243,44.30%,127,2.30%,88,3.60%,86,0.00%,83,83
92249,50.00%,9,100.00%,6,40.00%,3,0.00%,5,5
92250,75.00%,14,60.00%,8,28.60%,5,40.00%,7,5
92251,93.30%,29,7.10%,15,17.60%,14,6.30%,17,16
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92257,75.00%,14,166.70%,8,0.00%,3,25.00%,3,4
92259,0.00%,1,50.00%,1,0.00%,2,0.00%,2,2
92266,0.00%,2,0.00%,,0.00%,,0.00%,,
92273,0.00%,11,0.00%,,0.00%,,0.00%,,
92275,0.00%,3,0.00%,,0.00%,,0.00%,,
92281,25.00%,5,33.30%,4,0.00%,3,0.00%,3,3
92283,33.30%,2,50.00%,3,0.00%,2,33.30%,2,3
92389,0.00%,1,0.00%,,0.00%,,0.00%,,
93513,112.50%,17,300.00%,8,33.30%,2,25.00%,3,4
93514,165.30%,130,63.30%,49,42.90%,30,10.50%,21,19
93526,50.00%,6,0.00%,4,0.00%,4,100.00%,4,2
93545,50.00%,24,6.70%,16,7.10%,15,55.60%,14,9
93549,0.00%,3,0.00%,,0.00%,,0.00%,,
93203,126.70%,68,25.00%,30,9.10%,24,0.00%,22,22
93205,13.30%,349,26.20%,308,10.40%,244,38.10%,221,160
93206,116.70%,13,0.00%,6,100.00%,6,50.00%,3,6
93215,34.20%,51,40.70%,38,18.20%,27,22.20%,33,27
93222,12.70%,835,6.50%,741,4.20%,696,14.60%,668,583
93224,0.00%,2,0.00%,2,0.00%,,0.00%,,
93225,42.10%,699,21.50%,492,31.10%,405,25.60%,309,246
93226,16.00%,29,25.00%,25,9.10%,20,22.20%,22,18
93238,78.00%,219,50.00%,123,26.20%,82,44.40%,65,45
93240,146.40%,621,70.30%,252,26.50%,148,62.50%,117,72
93241,33.30%,24,5.30%,18,5.60%,19,10.00%,18,20
93243,35.70%,156,35.30%,115,32.80%,85,16.40%,64,55
93249,100.00%,6,200.00%,3,66.70%,1,200.00%,3,1
93250,266.70%,22,14.30%,6,75.00%,7,20.00%,4,5
93252,28.10%,23,23.10%,32,18.20%,26,29.40%,22,17
93255,50.00%,15,11.10%,10,0.00%,9,200.00%,9,3
93263,42.90%,20,27.30%,14,8.30%,11,33.30%,12,9
93268,125.00%,81,5.90%,36,2.90%,34,16.70%,35,42
93276,50.00%,3,100.00%,2,0.00%,1,0.00%,1,
93280,37.50%,22,100.00%,16,11.10%,8,12.50%,9,8
93283,261.30%,224,24.00%,62,47.10%,50,36.00%,34,25
93285,3.40%,750,11.20%,725,7.80%,652,20.00%,605,504
93287,28.60%,9,16.70%,7,0.00%,6,100.00%,6,3
93301,103.30%,61,15.40%,30,16.10%,26,16.20%,31,37
93304,63.70%,239,2.00%,146,10.20%,149,2.40%,166,170
93305,68.50%,214,9.90%,127,4.70%,141,1.40%,148,146
93306,167.70%,249,19.20%,93,3.70%,78,6.90%,81,87
93307,58.80%,370,9.30%,233,9.80%,257,0.30%,285,286
93308,155.70%,248,21.30%,97,12.10%,80,10.80%,91,102
93309,160.50%,99,31.00%,38,6.50%,29,13.90%,31,36
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
93311,183.30%,34,50.00%,12,33.30%,8,50.00%,6,4
93312,195.50%,65,46.70%,22,11.80%,15,70.00%,17,10
93313,148.60%,87,25.00%,35,12.50%,28,6.70%,32,30
93314,80.00%,36,42.90%,20,26.30%,14,26.70%,19,15
93501,178.90%,53,11.80%,19,10.50%,17,11.80%,19,17
93505,143.20%,90,60.90%,37,0.00%,23,14.80%,23,27
93516,600.00%,21,62.50%,3,33.30%,8,0.00%,6,6
93518,25.40%,212,43.20%,169,22.90%,118,45.50%,96,66
93523,133.30%,14,100.00%,6,0.00%,3,40.00%,3,5
93527,78.60%,50,3.70%,28,17.40%,27,4.50%,23,22
93528,25.00%,5,0.00%,4,0.00%,4,33.30%,4,3
93531,33.80%,107,2.60%,80,9.30%,78,21.10%,86,71
93555,343.30%,133,76.50%,30,15.00%,17,25.90%,20,27
93560,212.90%,97,34.80%,31,35.30%,23,10.50%,17,19
93561,38.50%,1594,28.70%,1151,26.80%,894,31.50%,705,536
93202,0.00%,3,50.00%,3,0.00%,2,0.00%,,
93204,33.30%,6,800.00%,9,0.00%,1,0.00%,1,1
93212,25.00%,20,23.80%,16,40.00%,21,16.70%,15,18
93230,282.40%,65,6.30%,17,220.00%,16,0.00%,5,5
93239,100.00%,2,50.00%,1,100.00%,2,50.00%,1,2
93245,250.00%,14,100.00%,4,100.00%,2,0.00%,1,1
95422,120.80%,678,52.00%,307,38.40%,202,78.00%,146,82
95423,62.10%,308,102.10%,190,49.20%,94,65.80%,63,38
95426,31.80%,373,40.10%,283,110.40%,202,28.00%,96,75
95443,28.60%,36,47.40%,28,216.70%,19,200.00%,6,2
95451,22.40%,1248,32.60%,1020,12.40%,769,30.00%,684,526
95453,133.30%,357,82.10%,153,64.70%,84,50.00%,51,34
95457,31.00%,448,53.40%,342,35.20%,223,46.00%,165,113
95458,80.90%,208,57.50%,115,32.70%,73,161.90%,55,21
95461,29.60%,447,48.70%,345,73.10%,232,50.60%,134,89
95464,96.30%,159,76.10%,81,48.40%,46,121.40%,31,14
95467,30.60%,286,49.00%,219,116.20%,147,88.90%,68,36
95485,42.20%,145,59.40%,102,14.30%,64,33.30%,56,42
95493,75.00%,21,71.40%,12,40.00%,7,0.00%,5,5
97635,50.00%,3,0.00%,2,0.00%,2,0.00%,2,
96009,0.00%,6,0.00%,,0.00%,,0.00%,,
96056,7.30%,51,205.60%,55,28.60%,18,133.30%,14,6
96109,76.90%,23,7.10%,13,75.00%,14,60.00%,8,5
96113,180.00%,14,0.00%,5,0.00%,,0.00%,,
96114,120.60%,225,61.90%,102,40.00%,63,15.40%,45,39
96117,0.00%,5,0.00%,,100.00%,,0.00%,1,
96119,50.00%,1,50.00%,2,33.30%,4,200.00%,3,1
96121,100.00%,22,57.10%,11,40.00%,7,66.70%,5,3
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
96123,0.00%,,0.00%,,0.00%,,100.00%,,1
96128,25.00%,5,100.00%,4,0.00%,2,0.00%,,
96130,131.30%,444,100.00%,192,20.00%,96,40.40%,80,57
96132,100.00%,2,0.00%,1,0.00%,,0.00%,,
96136,0.00%,1,100.00%,,0.00%,1,0.00%,,
90001,3.50%,1673,1.00%,1734,3.40%,1752,2.50%,1814,1860
90002,1.80%,1106,3.80%,1126,3.20%,1170,5.10%,1209,1274
90003,3.20%,1597,0.80%,1547,3.90%,1560,5.60%,1623,1719
90004,5.30%,339,4.50%,322,7.80%,308,7.00%,334,359
90005,38.20%,94,0.00%,68,11.70%,68,5.50%,77,73
90006,3.70%,472,0.20%,455,7.10%,456,4.30%,491,513
90007,0.30%,370,10.40%,371,4.40%,414,4.60%,433,454
90008,5.10%,208,0.00%,198,6.20%,198,8.30%,211,230
90011,0.40%,2398,1.30%,2408,6.00%,2440,4.50%,2597,2719
90012,17.60%,87,7.20%,74,12.70%,69,12.90%,79,70
90013,80.00%,9,25.00%,5,20.00%,4,66.70%,5,3
90014,0.00%,5,0.00%,,0.00%,,0.00%,,
90015,0.00%,78,2.60%,78,18.80%,76,5.90%,64,68
90016,2.60%,553,1.00%,568,7.40%,574,7.60%,620,671
90017,58.30%,19,14.30%,12,16.70%,14,9.10%,12,11
90018,1.00%,883,2.00%,892,6.90%,910,5.10%,977,1029
90019,6.70%,605,0.20%,567,6.60%,568,9.80%,608,674
90020,53.80%,40,8.30%,26,14.30%,24,25.00%,21,28
90021,7.70%,14,18.20%,13,0.00%,11,0.00%,11,11
90022,0.30%,1057,3.10%,1060,5.90%,1094,4.70%,1163,1220
90023,2.40%,1017,3.10%,1042,5.30%,1075,2.90%,1135,1169
90024,105.10%,80,21.90%,39,3.20%,32,8.80%,31,34
90025,46.20%,57,7.10%,39,10.60%,42,2.10%,47,48
90026,0.50%,729,1.20%,733,5.20%,742,4.70%,783,822
90027,13.90%,319,15.20%,280,2.80%,243,7.80%,250,232
90028,0.00%,33,8.30%,33,7.70%,36,2.60%,39,38
90029,2.50%,242,6.30%,236,2.20%,222,16.50%,227,272
90031,0.70%,705,3.30%,710,8.30%,687,3.10%,749,773
90032,0.30%,590,0.50%,592,4.80%,589,7.10%,619,666
90033,5.80%,650,1.40%,690,6.00%,700,4.50%,745,780
90034,1.10%,90,3.30%,89,2.10%,92,11.30%,94,106
90035,44.20%,75,13.30%,52,3.40%,60,4.90%,58,61
90036,24.70%,96,14.90%,77,6.30%,67,7.40%,63,68
90037,0.40%,1355,1.20%,1360,5.50%,1377,3.60%,1457,1512
90038,12.90%,114,4.70%,101,5.40%,106,10.40%,112,125
90039,1.80%,331,4.20%,325,7.10%,312,3.40%,336,348
90040,0.60%,157,5.40%,158,1.80%,167,4.00%,170,177
90041,18.30%,271,2.60%,229,2.10%,235,3.20%,240,248
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
90042,5.90%,823,1.00%,777,3.10%,785,6.70%,810,868
90043,3.70%,616,2.30%,594,5.90%,608,7.60%,646,699
90044,1.50%,1724,0.90%,1699,4.30%,1714,6.30%,1791,1912
90045,23.30%,37,7.10%,30,6.70%,28,0.00%,30,30
90046,1.30%,1979,7.70%,2006,12.40%,1862,11.40%,1656,1487
90047,9.60%,870,2.60%,794,6.00%,815,6.70%,867,929
90048,59.70%,99,1.60%,62,16.00%,63,5.10%,75,79
90049,47.50%,1600,10.30%,1085,20.70%,984,23.30%,815,661
90056,47.10%,25,13.30%,17,11.80%,15,29.20%,17,24
90057,17.80%,60,1.40%,73,7.50%,72,10.70%,67,75
90058,8.50%,43,7.80%,47,3.80%,51,0.00%,53,53
90059,1.60%,665,5.50%,676,4.50%,715,4.50%,749,784
90061,2.40%,438,3.60%,449,1.10%,466,2.70%,471,484
90062,1.50%,796,0.10%,808,8.10%,809,5.80%,880,934
